Posted Date,Payee,Address,Amount
07/02/2024,"Amazon.ca Prime Member amazon.ca/priBC","amazon.ca/pri ",-11.49
07/02/2024,"A&W #5584 SAINT-LOUIS-DQC","SAINT-LOUIS-D ",-17.81
07/02/2024,"PETRO CANADA14030 ST NICOLAS QC","ST NICOLAS ",-13.49
07/02/2024,"COUCHE-TARD #943 SAINT-CYRILLEQC","SAINT-CYRILLE ",-9.17
07/02/2024,"EKO ST-ROMUALD ST-ROMUALD QC","ST-ROMUALD ",-13.25
07/02/2024,"COURSRA*5AZIA5MW62QMD7 SCHIPHOL NH","SCHIPHOL ",-66.00
07/02/2024,"GOOGLE *LinkedIn 650-253-0000 NS","650-253-0000 ",-109.49
07/03/2024,"IGA 8219 MONTREAL QC","MONTREAL ",-8.04
07/03/2024,"1399, RUE ONTARIIO MONTREAL QC","MONTREAL ",-502.00
07/03/2024,"CENTRAL WEST SHEFFORD MONTREAL QC","MONTREAL ",-21.48
07/03/2024,"MCDONALD'S #40518 MONTREAL QC","MONTREAL ",-5.05
07/04/2024,"FRUITERIE DU PLATEAU I MONTREAL QC","MONTREAL ",-14.15
07/04/2024,"THAI EXPRESS HAI111 LONGUEUIL QC","LONGUEUIL ",-23.56
07/08/2024,"SQ *THE DEPOT COMMUNIT Montreal QC","Montreal ",-12.50
07/08/2024,"SQ *VILLAGE AU PIED DU MONTREAL QC","MONTREAL ",-10.00
07/08/2024,"SQ *VILLAGE AU PIED DU MONTREAL QC","MONTREAL ",-8.05
07/08/2024,"ESSO COUCHE-TARD 1250 MONTREAL QC","MONTREAL ",-13.87
07/08/2024,"MARCHE K MONTREAL QC","MONTREAL ",-43.48
07/08/2024,"DEPANNEUR TABAGIE VARI MONTREAL QC","MONTREAL ",-49.55
07/08/2024,"A&W#5563 LONGUEUIL LONGUEUIL QC","LONGUEUIL ",-16.09
07/08/2024,"PUB L ABREUVOIR MONTREAL QC","MONTREAL ",-37.71
07/08/2024,"SQ *STRUCTURE COFFEE R Montreal QC","Montreal ",-14.49
07/09/2024,"UPLIFT, INC. TORONTO ON","TORONTO ",-221.54
07/09/2024,"UBER CANADA/UBEREATS TORONTO ON","TORONTO ",-33.68
07/09/2024,"AGENCE DE MOBILITE DUR MONTREAL QC","MONTREAL ",-8.57
07/09/2024,"DEPANNEUR SHERBROOKE MONTREAL QC","MONTREAL ",-11.32
07/09/2024,"INTEREST CHARGE"," ",-6.19
